Plot_nr;UTM_N;UTM_E;Year
Noist1;78.34717429000;16.93847706000;2010
Noist1;78.34717429000;16.93847706000;2012
Noist1;78.34717429000;16.93847706000;2013
Noist1;78.34717429000;16.93847706000;2017
Noist1;78.34717429000;16.93847706000;2018
Noist1;78.34717429000;16.93847706000;2019
Noist1;78.34717429000;16.93847706000;2022
Noist2;78.34714089000;16.93944779000;2010
Noist2;78.34714089000;16.93944779000;2012
Noist2;78.34714089000;16.93944779000;2013
Noist2;78.34714089000;16.93944779000;2018
Noist2;78.34714089000;16.93944779000;2019
Noist2;78.34714089000;16.93944779000;2022
Gaset1;78.33142853000;16.99948912000;2010
Gaset1;78.33142853000;16.99948912000;2012
Gaset1;78.33142853000;16.99948912000;2013
Gaset1;78.33142853000;16.99948912000;2017
Gaset1;78.33142853000;16.99948912000;2018
Gaset1;78.33142853000;16.99948912000;2019
Gaset1;78.33142853000;16.99948912000;2022
Gaset2;78.33215119000;16.98308056000;2013
Gaset2;78.33215119000;16.98308056000;2017
Gaset2;78.33215119000;16.98308056000;2018
Gaset2;78.33215119000;16.98308056000;2019
Gaset2;78.33215119000;16.98308056000;2022
Gaset4;78.34274647000;16.95167891000;2013
Gaset4;78.34274647000;16.95167891000;2017
Gaset4;78.34274647000;16.95167891000;2018
Gaset4;78.34274647000;16.95167891000;2019
Gaset4;78.34274647000;16.95167891000;2022
Gaset5;78.32655241000;16.99360000000;2013
Gaset5;78.32655241000;16.99360000000;2017
Gaset5;78.32655241000;16.99360000000;2018
Gaset5;78.32655241000;16.99360000000;2019
Gaset5;78.32655241000;16.99360000000;2022
Gaset6;78.32865328000;16.99241872000;2013
Gaset6;78.32865328000;16.99241872000;2017
Gaset6;78.32865328000;16.99241872000;2018
Gaset6;78.32865328000;16.99241872000;2019
Gaset6;78.32865328000;16.99241872000;2022
